Para 0: Highlighted: 'Date:', Color: YELLOW (7)
Para 0: Highlighted: ' ', Color: YELLOW (7)
Para 0: Highlighted: '19.02.2026', Color: YELLOW (7)
Para 1: Highlighted: 'To,', Color: YELLOW (7)
Para 2: Highlighted: 'Sircilla', Color: YELLOW (7)
Para 2: Highlighted: ' ', Color: YELLOW (7)
Para 2: Highlighted: 'Sizing', Color: YELLOW (7)
Para 2: Highlighted: ' ', Color: YELLOW (7)
Para 2: Highlighted: 'and', Color: YELLOW (7)
Para 2: Highlighted: ' ', Color: YELLOW (7)
Para 2: Highlighted: 'Dyeing ', Color: YELLOW (7)
Para 2: Highlighted: 'Sircilla', Color: YELLOW (7)
Para 2: Highlighted: ', Telangana.', Color: YELLOW (7)
Para 3: Highlighted: 'Suresh', Color: YELLOW (7)
Para 3: Highlighted: ' ', Color: YELLOW (7)
Para 3: Highlighted: 'Gowda/Vasu', Color: YELLOW (7)
Para 3: Highlighted: ' ', Color: YELLOW (7)
Para 3: Highlighted: 'Gowda.', Color: YELLOW (7)
Para 4: Highlighted: ':', Color: YELLOW (7)
Para 4: Highlighted: ' ', Color: YELLOW (7)
Para 4: Highlighted: 'Commercial', Color: YELLOW (7)
Para 4: Highlighted: ' ', Color: YELLOW (7)
Para 4: Highlighted: 'Offer', Color: YELLOW (7)
Para 4: Highlighted: ' ', Color: YELLOW (7)
Para 4: Highlighted: 'for', Color: YELLOW (7)
Para 4: Highlighted: ' ', Color: YELLOW (7)
Para 4: Highlighted: '700', Color: YELLOW (7)
Para 4: Highlighted: ' ', Color: YELLOW (7)
Para 4: Highlighted: 'kg/', Color: YELLOW (7)
Para 4: Highlighted: 'hr', Color: YELLOW (7)
Para 4: Highlighted: ' ', Color: YELLOW (7)
Para 4: Highlighted: 'Solar', Color: YELLOW (7)
Para 4: Highlighted: ' ', Color: YELLOW (7)
Para 4: Highlighted: 'Parabolic', Color: YELLOW (7)
Para 4: Highlighted: ' ', Color: YELLOW (7)
Para 4: Highlighted: 'Trough', Color: YELLOW (7)
Para 4: Highlighted: ' ', Color: YELLOW (7)
Para 4: Highlighted: 'Steam', Color: YELLOW (7)
Para 4: Highlighted: ' ', Color: YELLOW (7)
Para 4: Highlighted: 'Generation', Color: YELLOW (7)
Para 4: Highlighted: ' ', Color: YELLOW (7)
Para 4: Highlighted: 'System.', Color: YELLOW (7)
Para 5: Highlighted: 'Sircilla', Color: YELLOW (7)
Para 5: Highlighted: '.', Color: YELLOW (7)
Para 7: Highlighted: '700', Color: YELLOW (7)
Para 10: Highlighted: '₹', Color: YELLOW (7)
Para 10: Highlighted: ' ', Color: YELLOW (7)
Para 10: Highlighted: '201.60', Color: YELLOW (7)
Para 10: Highlighted: ' ', Color: YELLOW (7)
Para 10: Highlighted: 'Lakhs', Color: YELLOW (7)
Para 11: Highlighted: '', Color: YELLOW (7)
Para 11: Highlighted: '     (Rupees', Color: YELLOW (7)
Para 11: Highlighted: ' ', Color: YELLOW (7)
Para 11: Highlighted: 'Two', Color: YELLOW (7)
Para 11: Highlighted: ' ', Color: YELLOW (7)
